observation_month,available_date,effective_score,regime,structural_support_score,observed_conditions_score,structural_support_z,observed_conditions_z,anfci_z,real_yield_z,term_premium_z,reserves_z,anfci,dfii10,term_premium,reserves_3m_pct
2006-02,2006-03-31,40.1454196254,NEUTRAL,46.8833587998,40.1454196254,-0.1869984720,-0.5912748225,-0.5912748225,-0.7068057918,1.2713236925,-0.7212369663,-0.47925,2.0489473684210524,0.6686105263157894,-23.60626308965792
2006-03,2006-04-30,41.3854045854,NEUTRAL,48.0794998893,41.3854045854,-0.1152300066,-0.5168757249,-0.5168757249,-1.3969839341,1.0565844577,0.3963551747,-0.48719999999999997,2.197391304347826,0.7262434782608697,24.66858152894389
2006-04,2006-05-31,36.5602032278,RESTRICTIVE,39.6171835223,36.5602032278,-0.6229689887,-0.8063878063,-0.8063878063,-2.2529306985,0.7019973121,-0.1345547619,-0.452,2.4089473684210527,0.8296736842105263,2.0481310803891484
2006-05,2006-06-30,31.7058287373,RESTRICTIVE,40.1845392744,31.7058287373,-0.5889276435,-1.0976502758,-1.0976502758,-2.2408772124,0.5713328991,0.4114840149,-0.4155,2.445909090909091,0.8665590909090909,25.195822454308093
2006-06,2006-07-31,23.7714571839,RESTRICTIVE,33.0421370389,23.7714571839,-1.0174717777,-1.5737125690,-1.5737125690,-2.3935112400,0.6360816483,-0.7387449500,-0.354,2.5295454545454543,0.8448181818181818,-23.101462117855565
2006-07,2006-08-31,27.0180193752,RESTRICTIVE,35.8587980560,27.0180193752,-0.8484721166,-1.3789188375,-1.3789188375,-2.1446769236,0.7799354438,-0.6502281493,-0.3725,2.507,0.798875,-19.92975413948821
2006-08,2006-09-30,37.5987783023,RESTRICTIVE,48.6974091551,37.5987783023,-0.0781554507,-0.7440733019,-0.7440733019,-1.2474664863,1.1286946627,0.5502233226,-0.44675,2.2908695652173914,0.6892434782608696,29.572471324296146
2006-09,2006-10-31,40.8079967011,NEUTRAL,47.6642869566,40.8079967011,-0.1401427826,-0.5515201979,-0.5515201979,-1.3184669339,1.2832712981,0.0261447033,-0.4688,2.3195,0.6345,8.308365982945375
2006-10,2006-11-30,47.6858086701,NEUTRAL,47.6858086701,49.4406579306,-0.1388514798,-0.0335605242,-0.0335605242,-1.6112822478,1.2882726640,-0.1988358112,-0.52975,2.4114285714285715,0.6239285714285714,-0.8146384258679085
2006-11,2006-12-31,47.9317917906,NEUTRAL,47.9317917906,49.7639614860,-0.1240924926,-0.0141623108,-0.0141623108,-1.1241275753,1.5115177162,-0.8695978004,-0.532,2.291904761904762,0.5441,-28.126508932882665
2006-12,2007-01-31,33.3149503501,RESTRICTIVE,44.6435532718,33.3149503501,-0.3213868037,-1.0011029790,-1.0011029790,-0.9463464287,1.4860325170,-0.8241303241,-0.41580000000000006,2.2504999999999997,0.53929,-26.939036067666777
