id,asset,channel,mode,horizon_m,train_n,oos_n,train_private_handoff_n,oos_private_handoff_n,train_start,train_end,oos_start,oos_end,money_train_mean,money_train_sd,baseline_train_r2,candidate_train_r2,private_handoff_beta,private_handoff_hac_pvalue,hac_maxlags,oos_sse_baseline,oos_sse_candidate,oos_rmse_baseline,oos_rmse_candidate,oos_incremental_r2,oos_prediction_pearson_baseline,oos_prediction_pearson_candidate,oos_private_handoff_mean_return,oos_other_states_mean_return,oos_private_handoff_minus_other_return,phase_total,phase_wins_candidate,phase_median_incremental_r2
SPY_USD_ACCEL3_12M,SPY,usd,accel3,12,93,30,40,21,2015-04,2022-12,2023-01,2025-06,-0.06160339063428388,3.270450666202662,0.2000816652883317,0.20055425031163543,0.005380249079204761,0.9110301019855142,11,0.23014715513819017,0.22561676358495203,0.0875875096000547,0.08672115535534031,0.01968476017232501,0.3653733844679505,0.3628948513273759,0.1986630232199984,0.19876748270746292,-0.00010445948746451439,12,7,0.016075639351986193
QQQ_USD_ACCEL3_12M,QQQ,usd,accel3,12,93,30,40,21,2015-04,2022-12,2023-01,2025-06,-0.06160339063428388,3.270450666202662,0.15183211653624595,0.19413745681567307,0.07775678948965742,0.30228447246440737,11,0.191716607627984,0.18167670547348336,0.07994093812058667,0.07781960024601414,0.05236845299277648,0.5681998476401064,0.5260874578394454,0.2396651872615275,0.22144531548400567,0.018219871777521823,12,5,-0.07421125941828988
GLD_FXN_ACCEL3_12M,GLD,fxn,accel3,12,93,30,40,21,2015-04,2022-12,2023-01,2025-06,-0.010565713392072422,1.2484342074321444,0.007591403090067561,0.04957060161419935,0.0424414946193797,0.36576324316089187,11,2.208221875293432,2.0187179943415567,0.2713068297023029,0.25940431725664326,0.08581740950586936,0.6024329025541476,0.38114771369544115,0.33025538465089915,0.2622286556539883,0.06802672899691087,12,9,0.10493723415670492
DBC_USD_LEVEL_6M,DBC,usd,level,6,96,36,41,25,2015-01,2022-12,2023-01,2025-12,6.255047580823825,6.011016876644709,0.34714523359942706,0.34960135090482125,-0.01557762323167246,0.5663796334576301,5,0.41807038567769794,0.43941319851347044,0.10776393770099969,0.11048041537272447,-0.051050764576819896,0.5940812133015101,0.5879296625352834,0.06468642517874108,0.03092473452039757,0.033761690658343516,6,1,-0.09680974807384024
DBC_USD_LEVEL_12M,DBC,usd,level,12,96,30,41,21,2015-01,2022-12,2023-01,2025-06,6.255047580823825,6.011016876644709,0.40197958312461235,0.4716926539046121,-0.11888411108464864,0.003960038028975135,11,0.660816761900238,1.0178537557095781,0.1484157181590771,0.1841967929244497,-0.540296515455583,0.5726225198718354,0.06789471353876708,0.11515184887675273,-0.010627557193091067,0.12577940606984378,12,0,-0.9935323660996109
DBC_FXN_LEVEL_6M,DBC,fxn,level,6,96,36,41,25,2015-01,2022-12,2023-01,2025-12,7.808828473089974,2.2772694778662976,0.3932199730284923,0.39837670876572073,0.024299023266679612,0.44473520822250523,5,1.2208773391011065,1.232805221905773,0.18415553051558126,0.18505293701366263,-0.00976992726677084,0.6856331550558298,0.6782803661471182,0.06468642517874108,0.03092473452039757,0.033761690658343516,6,3,-0.003587938344049413
